num,date,begin,end,A+,A-,R+,R-
0,2019-01-01 00:30:00,2019-01-01 00:00:00,2019-01-01 00:30:00,66.24000000000001,0,0,43.32
1,2019-01-01 01:00:00,2019-01-01 00:30:00,2019-01-01 01:00:00,66.24000000000001,0,0,43.2
2,2019-01-01 01:30:00,2019-01-01 01:00:00,2019-01-01 01:30:00,66.36,0,0,43.44
3,2019-01-01 02:00:00,2019-01-01 01:30:00,2019-01-01 02:00:00,66.0,0,0,43.32
4,2019-01-01 02:30:00,2019-01-01 02:00:00,2019-01-01 02:30:00,66.0,0,0,43.44
5,2019-01-01 03:00:00,2019-01-01 02:30:00,2019-01-01 03:00:00,66.0,0,0,43.68
6,2019-01-01 03:30:00,2019-01-01 03:00:00,2019-01-01 03:30:00,66.48,0,0,43.32
7,2019-01-01 04:00:00,2019-01-01 03:30:00,2019-01-01 04:00:00,66.12,0,0,43.2
8,2019-01-01 04:30:00,2019-01-01 04:00:00,2019-01-01 04:30:00,66.36,0,0,43.44
9,2019-01-01 05:00:00,2019-01-01 04:30:00,2019-01-01 05:00:00,66.0,0,0,43.2
10,2019-01-01 05:30:00,2019-01-01 05:00:00,2019-01-01 05:30:00,65.88000000000001,0,0,43.2
11,2019-01-01 06:00:00,2019-01-01 05:30:00,2019-01-01 06:00:00,66.0,0,0,43.44
12,2019-01-01 06:30:00,2019-01-01 06:00:00,2019-01-01 06:30:00,66.0,0,0,43.32
13,2019-01-01 07:00:00,2019-01-01 06:30:00,2019-01-01 07:00:00,66.0,0,0,43.44
14,2019-01-01 07:30:00,2019-01-01 07:00:00,2019-01-01 07:30:00,66.12,0,0,43.32
15,2019-01-01 08:00:00,2019-01-01 07:30:00,2019-01-01 08:00:00,66.12,0,0,43.32
16,2019-01-01 08:30:00,2019-01-01 08:00:00,2019-01-01 08:30:00,66.12,0,0,43.2
17,2019-01-01 09:00:00,2019-01-01 08:30:00,2019-01-01 09:00:00,66.12,0,0,43.68
18,2019-01-01 09:30:00,2019-01-01 09:00:00,2019-01-01 09:30:00,66.0,0,0,43.56
