begin,a
2019-01-01,3167.88
2019-01-02,3171.48
2019-01-03,3178.6800000000003
2019-01-04,3263.5200000000004
2019-01-05,3182.76
2019-01-06,3241.68
2019-01-07,3226.4400000000005
2019-01-08,3197.2799999999997
2019-01-09,5367.4800000000005
2019-01-10,5365.68
2019-01-11,5201.04
2019-01-12,3255.4799999999996
2019-01-13,3338.4
2019-01-14,4970.76
2019-01-15,5123.16
2019-01-16,5122.2
2019-01-17,5183.64
2019-01-18,5103.84
2019-01-19,3175.5600000000004
2019-01-20,3244.4400000000005
2019-01-21,5064.72
2019-01-22,5244.960000000001
2019-01-23,5219.04
2019-01-24,5087.280000000001
2019-01-25,5181.120000000001
2019-01-26,3178.4400000000005
2019-01-27,3238.8
2019-01-28,4958.28
2019-01-29,5400.960000000001
2019-01-30,5177.52
2019-01-31,5597.280000000001
2019-02-01,5327.4
2019-02-02,3222.1200000000003
2019-02-03,3315.6000000000004
2019-02-04,4984.800000000001
2019-02-05,5249.280000000001
2019-02-06,4981.3200000000015
2019-02-07,5340.120000000001
2019-02-08,5319.84
2019-02-09,3200.6400000000003
2019-02-10,3269.6400000000003
2019-02-11,4987.200000000001
2019-02-12,4847.16
2019-02-13,4879.4400000000005
2019-02-14,4929.120000000001
2019-02-15,4755.720000000001
2019-02-16,3207.0000000000005
2019-02-17,3262.6800000000003
2019-02-18,5493.6
2019-02-19,5346.6
2019-02-20,5681.52
2019-02-21,5565.84
2019-02-22,5262.480000000001
2019-02-23,3250.6800000000003
2019-02-24,3393.96
2019-02-25,5797.4400000000005
2019-02-26,5791.08
2019-02-27,5913.6
2019-02-28,5796.480000000001
2019-03-01,5754.6
2019-03-02,3202.5600000000004
2019-03-03,3268.4400000000005
2019-03-04,5696.04
2019-03-05,5797.320000000001
2019-03-06,5769.240000000001
2019-03-07,5516.4
2019-03-08,3250.5600000000004
2019-03-09,3238.5600000000004
2019-03-10,3294.7200000000003
2019-03-11,5202.72
2019-03-12,5143.56
2019-03-13,5019.120000000001
2019-03-14,5210.64
2019-03-15,5052.12
2019-03-16,3215.88
2019-03-17,3265.92
2019-03-18,5088.120000000001
2019-03-19,5042.280000000001
2019-03-20,5092.4400000000005
2019-03-21,4992.72
2019-03-22,4899.84
2019-03-23,3215.4000000000005
2019-03-24,3276.36
2019-03-25,5236.44
2019-03-26,5401.2
2019-03-27,5325.6
2019-03-28,5427.6
2019-03-29,5476.320000000001
2019-03-30,3228.4800000000005
2019-03-31,3312.96
2019-04-01,5601.120000000001
2019-04-02,5754.84
2019-04-03,5671.320000000001
2019-04-04,5635.320000000001
2019-04-05,5351.879999999999
2019-04-06,2885.88
2019-04-07,3277.6800000000003
2019-04-08,5403.24
2019-04-09,5357.879999999999
2019-04-10,5433.12
2019-04-11,5247.36
2019-04-12,5475.24
2019-04-13,3244.4400000000005
2019-04-14,3321.0
2019-04-15,5546.52
2019-04-16,5507.88
2019-04-17,5410.68
2019-04-18,5454.0
2019-04-19,5378.76
2019-04-20,3297.3600000000006
2019-04-21,3390.84
2019-04-22,5147.4
2019-04-23,5473.08
2019-04-24,5565.960000000001
2019-04-25,5270.76
2019-04-26,5699.28
2019-04-27,3312.6
2019-04-28,3421.08
2019-04-29,5580.360000000001
2019-04-30,5235.6
2019-05-01,3519.8400000000006
2019-05-02,3237.2400000000007
